"Merrill Hall";"44669168";"-70148462";NULL
"Alumni Theater";"44669020";"-70148250";NULL
"Dearborn Gymnasium";"44668738";"-70147881";NULL
"Ricker Hall";"44669168";"-70148462";NULL
"Ricker Addition";"44668213";"-70148047";NULL
"Thomas Auditorium";"44668319";"-70147429";NULL
"Preble Hall";"44668161";"-70147349";NULL
"Mantor Library";"44667853";"-70147111";NULL
"Olsen Student Center";"44667623";"-70147044";NULL
"Roberts Learning Center";"44666227";"-70146764";NULL
"Education Center";"44667860";"-70146206";NULL
"Creative Writing House";"44667648";"-70146675";NULL
"Brinkman House";"44668603";"-70148644";NULL
"Look House";"44668095";"-70148705";NULL
"Ferro Alumni Center";"44667904";"-70148528";NULL
"Admissions";"44667740";"-70148282";NULL
"Art Gallery";"44667761";"-70148189";NULL
"248 Main St.";"44667707";"-70147948";NULL
"Franklin Hall";"44667366";"-70147987";NULL
"101 South St.";"44667015";"-70147869";NULL
"120 Prescott St.";"44664642";"-70145429";NULL
"Frances Allen Black Hall";"44669015";"-70144485";NULL
"Scott Hall Complex";"44667427";"-70149070";NULL
"Mallet Hall";"44668329";"-70146299";NULL
"Purington Hall";"44668599";"-70146462";NULL
"Stone Hall";"44669007";"-70146138";NULL
"Lockwood Hall";"44668658";"-70145776";NULL
"Dakin Hall";"44668578";"-70145341";NULL
"Computer Center";"44667384";"-70146564";NULL
"Fitness and Recreation Center";"44668790";"-70142978";NULL
"125 Lincoln St.";"44668737";"-70144301";NULL
"Psychology";"44668370";"-70149099";NULL
"President's House";"44666625";"-70144852";NULL
"112 Maguire St.";"44669437";"-70145900";NULL
