"**Center of Campus**";"44667595";"-70147629";"centerofcampus"
"Left of Purington";"44668937";"-70147012";"resident"
"Rear of Stone Hall";"44668718";"-70146713";"resident"
"Back of Dakin Hall";"44668759";"-70145746";"resident"
"Side of Dakin Hall on Perkin St";"44668814";"-70145484";"resident"
" Side of Lockwood Hall on Perkins Street ";"44668655";"-70145962";"resident"
"Scott South Parking Lot";"44666915";"-70148757";"resident"
"Perkins Street across from Stone Hall large lot";"44669550";"-70145094";"resident"
"Prescott FIELD parking lot off of Front Street";"44666637";"-70150752";"resident"
"Prescott STREET just beyond the SweattWinter Daycare";"44663620";"-70145115";"resident"
"Prescott STREET lot";"44663375";"-70145472";"resident"
"Behind the fitness center large new lot";"44669765";"-70141568";"resident"
"Purington Alcove";"44668802";"-70146670";"resident"
"Prescott FIELD lot off of Front Street";"44666637";"-70150752";"first year"
"Prescott STREET lot just beyond Abbott Park";"44663620";"-70145115";"first year"
"Prescott STREET lot";"44663375";"-70145472";"first year"
"Behind the fitness center large new lot";"44669765";"-70141568";"first year"
"Roberts Learning Center";"44665669";"-70146590";"commuter"
"Side of Health and Fitness Cente";"44669664";"-70143401";"commuter"
"Computer Center Parking Lot";"44666950";"-70146104";"commuter"
